,CustomerID,MonetaryValue,Frequency,Recency,R_Quartile,F_Quartile,M_Quartile,RFMClass,Customer Segment
0,12346.0,0.0,2,325,4,5,6,456,Hibernating
1,12347.0,4309.999999999997,7,129,2,3,1,231,Potential_Loyalists
2,12348.0,1797.24,4,75,1,4,3,143,Promising
3,12349.0,1757.55,1,18,1,6,3,163,Recent_Customers
4,12350.0,334.40000000000003,1,310,4,6,5,465,Hibernating
5,12352.0,1545.4100000000005,11,72,1,2,3,123,Potential_Loyalists
6,12353.0,89.0,1,204,3,6,6,366,Hibernating
7,12354.0,1079.4,1,232,3,6,3,363,Hibernating
8,12355.0,459.4,1,214,3,6,5,365,Hibernating
9,12356.0,2811.4300000000007,3,245,3,4,2,342,Hibernating
10,12357.0,6207.669999999996,1,33,1,6,1,161,Recent_Customers
11,12358.0,1168.06,2,150,2,5,3,253,Recent_Customers
12,12359.0,6245.530000000006,6,189,3,3,1,331,Customer_Needs_Attention
13,12360.0,2662.0600000000004,3,112,2,4,2,242,Promising
14,12361.0,189.89999999999998,1,287,4,6,6,466,Hibernating
15,12362.0,5154.580000000002,13,72,1,1,1,111,Champions
16,12363.0,552.0,2,109,2,5,4,254,Recent_Customers
17,12364.0,1313.1000000000001,4,78,1,4,3,143,Promising
18,12365.0,320.69,3,291,4,4,5,445,About_to_Sleep
19,12367.0,168.9,1,4,1,6,6,166,Recent_Customers
20,12370.0,3545.689999999998,4,274,4,4,1,441,Lost
21,12371.0,1887.9600000000003,2,44,1,5,3,153,Recent_Customers
22,12372.0,1298.0400000000002,3,71,1,4,3,143,Promising
23,12373.0,364.6,1,311,4,6,5,465,Hibernating
24,12374.0,742.93,1,25,1,6,4,164,Recent_Customers
25,12375.0,455.42000000000013,3,98,2,4,5,245,Recent_Customers
26,12377.0,1628.1199999999997,2,354,4,5,3,453,About_to_Sleep
27,12378.0,4008.6200000000013,1,129,2,6,1,261,Recent_Customers
28,12379.0,850.2899999999996,3,81,1,4,4,144,Promising
29,12380.0,2720.56,5,78,1,3,2,132,Potential_Loyalists
30,12381.0,1803.9600000000005,6,100,2,3,3,233,Potential_Loyalists
31,12383.0,1839.3099999999997,6,184,3,3,3,333,Customer_Needs_Attention
32,12384.0,566.16,3,79,1,4,4,144,Promising
33,12386.0,401.90000000000003,2,366,5,5,5,555,Lost
34,12388.0,2780.6600000000003,6,75,1,3,2,132,Potential_Loyalists
35,12390.0,549.8399999999999,1,79,1,6,4,164,Recent_Customers
36,12391.0,460.88999999999993,1,21,1,6,5,165,Recent_Customers
37,12393.0,1582.6000000000004,4,72,1,4,3,143,Promising
38,12394.0,1272.48,2,217,3,5,3,353,Hibernating
39,12395.0,2998.279999999999,15,112,2,1,2,212,Loyal_Customers
40,12397.0,2409.9000000000005,2,135,2,5,2,252,Recent_Customers
41,12398.0,1635.6599999999999,1,45,1,6,3,163,Recent_Customers
42,12399.0,1108.65,4,119,2,4,3,243,Promising
43,12401.0,84.3,1,303,4,6,6,466,Hibernating
44,12402.0,225.6,1,323,4,6,6,466,Hibernating
45,12403.0,409.7,2,49,1,5,5,155,Recent_Customers
46,12405.0,1710.3900000000006,1,148,2,6,3,263,Recent_Customers
47,12406.0,3280.7500000000014,3,122,2,4,2,242,Promising
48,12407.0,1708.1199999999997,5,156,2,3,3,233,Potential_Loyalists
49,12408.0,2842.57,9,98,2,2,2,222,Loyal_Customers
50,12409.0,11056.930000000004,7,78,1,3,1,131,Potential_Loyalists
51,12410.0,681.0799999999999,3,308,4,4,4,444,About_to_Sleep
52,12412.0,1226.8799999999999,3,74,1,4,3,143,Promising
53,12413.0,694.15,5,236,3,3,4,334,Hibernating
54,12414.0,562.41,3,217,3,4,4,344,Hibernating
55,12415.0,123725.44999999987,26,99,2,1,1,211,Loyal_Customers
56,12417.0,3578.8,12,127,2,1,1,211,Loyal_Customers
57,12418.0,668.5799999999997,1,112,2,6,4,264,Recent_Customers
58,12420.0,600.3900000000001,1,63,1,6,4,164,Recent_Customers
59,12421.0,806.2700000000002,5,114,2,3,4,234,Promising
60,12422.0,803.5599999999998,3,95,2,4,4,244,Promising
61,12423.0,1849.1100000000001,9,98,2,2,3,223,Potential_Loyalists
62,12424.0,1760.9599999999998,2,162,2,5,3,253,Recent_Customers
63,12425.0,777.1999999999999,1,78,1,6,4,164,Recent_Customers
64,12426.0,582.7299999999999,1,194,3,6,4,364,Hibernating
65,12427.0,708.3700000000001,5,371,5,3,4,534,Lost
66,12428.0,7877.200000000004,12,108,2,1,1,211,Loyal_Customers
67,12429.0,3750.400000000001,4,172,2,4,1,241,Promising
68,12430.0,256.4,1,43,1,6,5,165,Recent_Customers
69,12431.0,6416.389999999999,18,119,2,1,1,211,Loyal_Customers
70,12432.0,5059.3200000000015,5,170,2,3,1,231,Potential_Loyalists
71,12433.0,13375.869999999992,7,91,2,3,1,231,Potential_Loyalists
72,12434.0,765.1899999999999,4,84,1,4,4,144,Promising
73,12435.0,7829.889999999998,2,79,1,5,1,151,Recent_Customers
